,Name,Stocktype,Mileage (Miles),Price,Ext_color,Int_color,Transmission,Drivetrain
0,2011 Nissan Frontier SV,Used,"116,657 mi.","$10,991",Black,Gray,Automatic,drive
1,2017 Honda Accord EX-L V-6,Used,"41,725 mi.","$14,491",Black,Black,Automatic,FWD
2,2016 Nissan Sentra SV,Used,"65,953 mi.","$8,991",White,Gray,CVT,FWD
3,2009 Land Rover LR2 HSE,Used,"25,420 mi.","$10,991",Black,Black,Automatic,drive
4,2011 Audi A6 3.0T Prestige quattro,Used,"78,612 mi.","$8,991",Black,Black,Automatic,AWD
5,2013 Subaru XV Crosstrek 2.0i Premium,Used,"71,841 mi.","$10,991",Red,Beige,CVT,AWD
6,2014 Chrysler 300C Base,Used,"75,188 mi.","$14,705",Gray,Black,Automatic,AWD
7,2019 Hyundai Elantra SEL,Used,"25,599 mi.","$13,702",Silver,Gray,Automatic,FWD
8,2017 Hyundai Sonata Base,Used,"75,442 mi.","$10,519",White,Gray,Automatic,FWD
9,2018 Nissan Sentra SL,Used,"56,325 mi.","$10,630",Blue,Black,CVT,FWD
10,2018 Nissan Sentra S,Used,"50,233 mi.","$10,720",Black,Black,CVT,FWD
11,2007 Honda Accord LX,Used,"140,099 mi.","$3,988",Silver,Gray,Automatic,FWD
12,2012 FIAT 500 Sport,Used,"49,397 mi.","$8,488",Yellow,Black,Automatic,FWD
13,2018 Nissan Sentra S,Used,"50,876 mi.","$10,729",Gray,Black,CVT,FWD
14,2013 Subaru Outback 2.5i,Used,"85,747 mi.","$9,988",Gray,Black,CVT,AWD
15,2018 Nissan Sentra S,Used,"40,401 mi.","$10,974",Silver,Black,CVT,FWD
16,2010 Ford Expedition XLT,Used,"186,315 mi.","$4,995",Silver,Beige,Automatic,RWD
17,2008 Audi A4 2.0T quattro,Used,"124,392 mi.","$5,995",White,Black,Automatic,AWD
18,2019 Ford Fiesta SE,New,NA,"$13,910",Gray,Black,Automatic,FWD
19,2004 Ford F-350 Super Duty,Used,"177,257 mi.","$11,993",White,Beige,Automatic,drive
20,2002 BMW 325 Ci,Used,"126,324 mi.","$5,991",Black,Gray,Automatic,RWD
21,2013 Scion FR-S,Used,"77,575 mi.","$14,492",Black,Black,Unknown,RWD
22,2014 Nissan Sentra SV,Used,"66,273 mi.","$9,991",Silver,Gray,CVT,FWD
23,2004 Ford Ranger XLT,Used,"60,869 mi.","$12,900",Red,Gray,Automatic,drive
24,2017 Subaru Impreza 2.0i,Used,"21,170 mi.","$11,300",Silver,Black,CVT,AWD
25,2018 Ford Fiesta SE,Used,"16,886 mi.","$8,000",Silver,Black,Automatic,FWD
26,2007 Buick Lucerne CXL,Used,"85,914 mi.","$5,450",Silver,Gray,Automatic,FWD
27,2016 Dodge Dart SXT,Used,"55,010 mi.","$8,700",Gray,Black,Automatic,FWD
28,2016 Dodge Dart SE,Used,"43,635 mi.","$8,000",Silver,Black,Manual,FWD
29,2015 Subaru Legacy 2.5i Premium,Used,"28,780 mi.","$11,950",Blue,White,CVT,AWD
30,2008 Toyota Yaris S,Used,"147,804 mi.","$4,491",Blue,Gray,Automatic,FWD
31,2008 Honda Civic EX,Used,"171,212 mi.","$3,199",Black,Black,Manual,FWD
32,2020 Chevrolet Spark LS,New,NA,"$13,095",Gray,Black,Manual,FWD
33,2020 Chevrolet Spark LS,New,NA,"$14,495",Red,Black,CVT,FWD
34,2020 Chevrolet Spark LS,New,NA,"$13,095",Gray,Black,Manual,FWD
35,2014 Mazda Mazda6 i Grand Touring,Used,"71,619 mi.","$13,999",Red,Beige,Automatic,FWD
36,2016 Ford Fusion SE,Used,"18,446 mi.","$13,888",Other,Other,Automatic,FWD
37,2015 Kia Cadenza SX Limited,Used,"63,825 mi.","$14,888",Other,Black,Automatic,FWD
38,2015 Hyundai Accent GLS,Used,"76,314 mi.","$6,995",Gray,Gray,Automatic,FWD
39,2008 Volvo S80 3.2,Used,"78,406 mi.","$5,995",Silver,Black,Automatic,FWD
40,2008 Toyota Tundra ONLY 126K MILES BRAND NEW TIRES,Used,"126,124 mi.","$13,995",Gray,Gray,Automatic,drive
41,2006 Ford F-250 Super Duty,Used,"95,640 mi.","$13,995",Gray,Gray,Automatic,drive
42,2013 Subaru Impreza 2.0i Limited,Used,"19,351 mi.","$10,995",Silver,Black,CVT,AWD
43,1990 Jaguar XJS,Used,"38,675 mi.","$14,995",Black,Black,Automatic,RWD
44,2012 Nissan Xterra S,Used,"120,000 mi.","$11,995",White,Gray,Automatic,drive
45,2013 Kia Soul !,Used,"64,175 mi.","$6,995",White,Black,Automatic,FWD
46,2019 Chevrolet Cruze LS,Used,"16,062 mi.","$13,990",Silver,Black,Automatic,FWD
47,2016 Chrysler 300 S,Used,"61,900 mi.","$14,495",Blue,Black,Automatic,RWD
48,2013 Subaru BRZ Limited,Used,"58,021 mi.","$13,995",White,Gray,Automatic,RWD
49,2013 Chevrolet Traverse 2LT,Used,"91,250 mi.","$13,990",Black,Black,Automatic,FWD
50,2006 Ford E250 E-250,Used,"126,000 mi.","$7,995",White,Gray,Automatic,RWD
51,2014 Jeep Patriot Latitude,Used,"47,599 mi.","$9,873",White,Gray,Manual,FWD
52,2015 Chevrolet Spark 1LT,Used,"57,026 mi.","$7,990",Black,Silver,CVT,FWD
53,2013 Volkswagen Passat 2.0 TDI SE,Used,"42,630 mi.","$9,990",Blue,Beige,Automatic,FWD
54,2009 Jaguar XF Premium Luxury,Used,"76,546 mi.","$9,995",Gold,Other,Automatic,RWD
55,2013 Ford Fiesta SE,Used,"115,146 mi.","$5,995",Silver,Other,Manual,FWD
56,2016 Chevrolet Malibu LS,Used,"39,803 mi.","$12,995",Silver,Other,Automatic,FWD
57,2013 Volkswagen Passat 2.0 TDI SE,Used,"91,718 mi.","$7,990",Gray,Gray,Automatic,FWD
58,2016 Buick Encore Base,Used,"45,659 mi.","$11,990",White,Black,Automatic,FWD
59,2012 Hyundai Elantra Limited,Used,"36,220 mi.","$9,990",Black,Gray,Automatic,FWD
