,Name,Stocktype,Mileage_(Miles),Price,Ext_color,Int_color,Transmission,Body_style,Model_Year,Car_Age_Year,Car_Make,Car_Model,Car_Trim
0,2011 Nissan Frontier SV,Used,"116,657 mi.",10991,Black,Gray,Automatic,Crew Cab Pickup,2011-01-01,9.47,Nissan,Frontier,SV
1,2017 Honda Accord EX-L V-6,Used,"41,725 mi.",14491,Black,Black,Automatic,Sedan,2017-01-01,3.46,Honda,Accord,V-6
2,2016 Nissan Sentra SV,Used,"65,953 mi.",8991,White,Gray,CVT,Sedan,2016-01-01,4.46,Nissan,Sentra,SV
3,2009 Land_Rover LR2 HSE,Used,"25,420 mi.",10991,Black,Black,Automatic,SUV,2009-01-01,11.47,Land_Rover,LR2,HSE
4,2011 Audi A6 3.0T Prestige quattro,Used,"78,612 mi.",8991,Black,Black,Automatic,Sedan,2011-01-01,9.47,Audi,A6,quattro
5,2013 Subaru XV Crosstrek 2.0i Premium,Used,"71,841 mi.",10991,Red,Beige,CVT,Wagon,2013-01-01,7.46,Subaru,XV,Premium
6,2014 Chrysler 300C Base,Used,"75,188 mi.",14705,Gray,Black,Automatic,Sedan,2014-01-01,6.46,Chrysler,300C,Base
7,2016 Chrysler 200 Limited,Used,"45,655 mi.",12112,Gray,Black,Automatic,Sedan,2016-01-01,4.46,Chrysler,200,Limited
8,2019 Hyundai Elantra SEL,Used,"25,599 mi.",13702,Silver,Gray,Automatic,Sedan,2019-01-01,1.46,Hyundai,Elantra,SEL
9,2017 Hyundai Sonata Base,Used,"75,442 mi.",10519,White,Gray,Automatic,Sedan,2017-01-01,3.46,Hyundai,Sonata,Base
10,2018 Nissan Sentra SL,Used,"56,325 mi.",10630,Blue,Black,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,SL
11,2018 Nissan Sentra S,Used,"50,233 mi.",10720,Black,Black,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,S
12,2007 Honda Accord LX,Used,"140,099 mi.",3988,Silver,Gray,Automatic,Sedan,2007-01-01,13.47,Honda,Accord,LX
13,2012 FIAT 500 Sport,Used,"49,397 mi.",8488,Yellow,Black,Automatic,Hatchback,2012-01-01,8.47,FIAT,500,Sport
14,2018 Nissan Sentra S,Used,"50,876 mi.",10729,Gray,Black,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,S
15,2013 Subaru Outback 2.5i,Used,"85,747 mi.",9988,Gray,Black,CVT,SUV,2013-01-01,7.46,Subaru,Outback,2.5i
16,2018 Nissan Sentra S,Used,"40,401 mi.",10974,Silver,Black,CVT,Sedan,2018-01-01,2.46,Nissan,Sentra,S
17,2010 Ford Expedition XLT,Used,"186,315 mi.",4995,Silver,Beige,Automatic,SUV,2010-01-01,10.47,Ford,Expedition,XLT
18,2008 Audi A4 2.0T quattro,Used,"124,392 mi.",5995,White,Black,Automatic,Sedan,2008-01-01,12.47,Audi,A4,quattro
20,2002 BMW 325 Ci,Used,"126,324 mi.",5991,Black,Gray,Automatic,Convertible,2002-01-01,18.47,BMW,325,Ci
21,2013 Scion FR-S,Used,"77,575 mi.",14492,Black,Black,Unknown,Coupe,2013-01-01,7.46,Scion,FR-S,FR-S
22,2014 Nissan Sentra SV,Used,"66,273 mi.",9991,Silver,Gray,CVT,Sedan,2014-01-01,6.46,Nissan,Sentra,SV
23,2004 Ford Ranger XLT,Used,"60,869 mi.",12900,Red,Gray,Automatic,Extended Cab Pickup,2004-01-01,16.47,Ford,Ranger,XLT
24,2017 Subaru Impreza 2.0i,Used,"21,170 mi.",11300,Silver,Black,CVT,Sedan,2017-01-01,3.46,Subaru,Impreza,2.0i
25,2018 Ford Fiesta SE,Used,"16,886 mi.",8000,Silver,Black,Automatic,Sedan,2018-01-01,2.46,Ford,Fiesta,SE
26,2007 Buick Lucerne CXL,Used,"85,914 mi.",5450,Silver,Gray,Automatic,Sedan,2007-01-01,13.47,Buick,Lucerne,CXL
27,2016 Dodge Dart SXT,Used,"55,010 mi.",8700,Gray,Black,Automatic,Sedan,2016-01-01,4.46,Dodge,Dart,SXT
28,2016 Dodge Dart SE,Used,"43,635 mi.",8000,Silver,Black,Manual,Sedan,2016-01-01,4.46,Dodge,Dart,SE
29,2015 Subaru Legacy 2.5i Premium,Used,"28,780 mi.",11950,Blue,White,CVT,Sedan,2015-01-01,5.46,Subaru,Legacy,Premium
30,2008 Toyota Yaris S,Used,"147,804 mi.",4491,Blue,Gray,Automatic,Sedan,2008-01-01,12.47,Toyota,Yaris,S
31,2008 Honda Civic EX,Used,"171,212 mi.",3199,Black,Black,Manual,Coupe,2008-01-01,12.47,Honda,Civic,EX
32,2000 Volkswagen Eurovan GLS,Used,"91,765 mi.",11499,White,Gray,Automatic,Minivan,2000-01-01,20.47,Volkswagen,Eurovan,GLS
36,2014 Mazda Mazda6 i Grand Touring,Used,"71,619 mi.",13999,Red,Beige,Automatic,Sedan,2014-01-01,6.46,Mazda,Mazda6,Touring
37,2016 Ford Fusion SE,Used,"18,446 mi.",13888,Other,Other,Automatic,Sedan,2016-01-01,4.46,Ford,Fusion,SE
38,2015 Kia Cadenza SX Limited,Used,"63,825 mi.",14888,Other,Black,Automatic,Sedan,2015-01-01,5.46,Kia,Cadenza,Limited
39,2015 Hyundai Accent GLS,Used,"76,314 mi.",6995,Gray,Gray,Automatic,Sedan,2015-01-01,5.46,Hyundai,Accent,GLS
40,2008 Volvo S80 3.2,Used,"78,406 mi.",5995,Silver,Black,Automatic,Sedan,2008-01-01,12.47,Volvo,S80,3.2
41,2008 Toyota Tundra ONLY 126K MILES BRAND NEW TIRES,Used,"126,124 mi.",13995,Gray,Gray,Automatic,Crew Cab Pickup,2008-01-01,12.47,Toyota,Tundra,TIRES
42,2006 Ford F-250 Super Duty,Used,"95,640 mi.",13995,Gray,Gray,Automatic,Crew Cab Pickup,2006-01-01,14.47,Ford,F-250,Duty
43,2013 Subaru Impreza 2.0i Limited,Used,"19,351 mi.",10995,Silver,Black,CVT,Hatchback,2013-01-01,7.46,Subaru,Impreza,Limited
44,1990 Jaguar XJS,Used,"38,675 mi.",14995,Black,Black,Automatic,Coupe,1990-01-01,30.48,Jaguar,XJS,XJS
45,2012 Nissan Xterra S,Used,"120,000 mi.",11995,White,Gray,Automatic,SUV,2012-01-01,8.47,Nissan,Xterra,S
46,2013 Kia Soul !,Used,"64,175 mi.",6995,White,Black,Automatic,Wagon,2013-01-01,7.46,Kia,Soul,!
47,2019 Chevrolet Cruze LS,Used,"16,062 mi.",13990,Silver,Black,Automatic,Sedan,2019-01-01,1.46,Chevrolet,Cruze,LS
48,2016 Chrysler 300 S,Used,"61,900 mi.",14495,Blue,Black,Automatic,Sedan,2016-01-01,4.46,Chrysler,300,S
49,2013 Subaru BRZ Limited,Used,"58,021 mi.",13995,White,Gray,Automatic,Coupe,2013-01-01,7.46,Subaru,BRZ,Limited
50,2013 Chevrolet Traverse 2LT,Used,"91,250 mi.",13990,Black,Black,Automatic,SUV,2013-01-01,7.46,Chevrolet,Traverse,2LT
51,2006 Ford E250 E-250,Used,"126,000 mi.",7995,White,Gray,Automatic,Cargo Van,2006-01-01,14.47,Ford,E250,E-250
52,2014 Jeep Patriot Latitude,Used,"47,599 mi.",9873,White,Gray,Manual,SUV,2014-01-01,6.46,Jeep,Patriot,Latitude
53,2015 Chevrolet Spark 1LT,Used,"57,026 mi.",7990,Black,Silver,CVT,Hatchback,2015-01-01,5.46,Chevrolet,Spark,1LT
54,2013 Volkswagen Passat 2.0 TDI SE,Used,"42,630 mi.",9990,Blue,Beige,Automatic,Sedan,2013-01-01,7.46,Volkswagen,Passat,SE
55,2009 Jaguar XF Premium Luxury,Used,"76,546 mi.",9995,Gold,Other,Automatic,Sedan,2009-01-01,11.47,Jaguar,XF,Luxury
56,2013 Ford Fiesta SE,Used,"115,146 mi.",5995,Silver,Other,Manual,Sedan,2013-01-01,7.46,Ford,Fiesta,SE
57,2016 Chevrolet Malibu LS,Used,"39,803 mi.",12995,Silver,Other,Automatic,Sedan,2016-01-01,4.46,Chevrolet,Malibu,LS
58,2013 Volkswagen Passat 2.0 TDI SE,Used,"91,718 mi.",7990,Gray,Gray,Automatic,Sedan,2013-01-01,7.46,Volkswagen,Passat,SE
59,2012 Hyundai Elantra Limited,Used,"36,220 mi.",9990,Black,Gray,Automatic,Sedan,2012-01-01,8.47,Hyundai,Elantra,Limited
60,2017 Buick Encore Preferred,Used,"70,095 mi.",10590,Black,Black,Automatic,SUV,2017-01-01,3.46,Buick,Encore,Preferred
61,2017 Chevrolet Malibu 1LS,Used,"39,119 mi.",11990,White,Black,Automatic,Sedan,2017-01-01,3.46,Chevrolet,Malibu,1LS
